,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,5.0106352940962555,0.6931471805599453,2.302585092994046,2018-10-19,0.1906203596086497,1.9459101490553132,19.1049731745428
21,8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,4.875197323201151,1.0986122886681098,4.875197323201151,2019-07-01,0.7371640659767197,1.9459101490553132,18.627936010197157
22,8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,4.394449154672439,0.6931471805599453,3.6888794541139363,2019-01-01,0.31481073984003355,1.9459101490553132,19.078784028338912
23,8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,4.709530201312334,1.0986122886681098,4.276666119016055,2019-07-02,0.4762341789963716,1.9459101490553132,17.435595774162696
92,20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,4.59511985013459,2.0794415416798357,2.833213344056216,2019-05-31,0.18232155679395465,1.9459101490553132,13.601470508735444
111,26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,4.836281906951478,1.0986122886681098,2.995732273553991,2019-06-02,0.18232155679395465,1.9459101490553132,15.811388300841896
149,34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,3.8066624897703196,2.1972245773362196,3.332204510175204,2019-06-29,0.7178397931503169,1.791759469228055,16.73320053068151
181,45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,5.860786223465865,2.1972245773362196,2.3978952727983707,2019-05-12,0.10436001532424277,1.791759469228055,19.1049731745428
199,53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,4.59511985013459,3.4339872044851463,3.5263605246161616,2015-05-09,0.27002713721306015,1.791759469228055,15.491933384829668
200,53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,4.948759890378168,2.0794415416798357,1.9459101490553132,2015-10-08,0.058268908123975775,1.791759469228055,19.1049731745428
201,53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,5.583496308781699,2.0794415416798357,3.6635616461296463,2019-04-27,0.32208349916911333,1.791759469228055,19.1049731745428
206,54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,4.804021044733257,0.6931471805599453,4.653960350157523,2019-06-22,0.6931471805599453,1.791759469228055,15.716233645501712
217,56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,40.81219,-73.94499,Private room,4.174387269895637,0.6931471805599453,5.262690188904886,2019-06-03,1.0438040521731147,1.791759469228055,15.652475842498529
229,59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,4.948759890378168,2.70805020110221,0.6931471805599453,2012-09-17,0.009950330853168083,1.791759469228055,19.1049731745428
236,60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,4.532599493153256,0.6931471805599453,5.247024072160486,2019-06-11,1.0367368849500223,1.791759469228055,15.905973720586866
249,62452,A SpeciaL!! Private Room in NY,303939,Lissette,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,3.6109179126442243,1.0986122886681098,5.267858159063328,2019-06-25,1.0473189942805592,1.9459101490553132,18.973665961010276
250,62461,B NYC Staten Alternative...,303939,Lissette,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,3.6375861597263857,1.0986122886681098,4.997212273764115,2019-06-10,0.8919980393051105,1.9459101490553132,0.0
251,62787,C Private Room By The Ferry,303939,Lissette,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,3.6375861597263857,1.0986122886681098,5.181783550292085,2019-07-02,0.9969486348916096,1.9459101490553132,17.88854381999832
256,63320,D Private Che@p Room 2 Explore NYC,303939,Lissette,Staten Island,Tompkinsville,40.63481,-74.08519,Private room,3.6109179126442243,1.0986122886681098,5.811140992976701,2019-07-02,1.4327007339340463,1.9459101490553132,18.439088914585774
260,63588,LL3,295128,Carol Gloria,Bronx,Clason Point,40.81309,-73.85514,Private room,4.51085950651685,1.0986122886681098,0.0,,0.0,2.0794415416798357,18.681541692269406
261,63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,310670,Vie,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,4.663439094112067,1.0986122886681098,3.6635616461296463,2019-06-27,0.4054651081081644,2.6390573296152584,19.1049731745428
283,66026,Private Bedroom Brownstone Brooklyn,322716,Alex,Brooklyn,Crown Heights,40.6715,-73.94808,Private room,3.912023005428146,3.091042453358316,2.772588722239781,2019-06-30,0.13976194237515868,1.791759469228055,18.193405398660254
321,77765,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73749,-73.95292,Private room,5.19295685089021,1.3862943611198906,3.6109179126442243,2019-07-01,0.3074846997479606,3.367295829986474,8.888194417315589
325,79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",430188,Pam,Brooklyn,Williamsburg,40.70516,-73.95455,Private room,4.795790545596741,2.70805020110221,4.343805421853684,2019-03-31,0.5653138090500605,1.9459101490553132,18.520259177452136
327,80684,Duplex w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73776,-73.95327,Private room,5.857933154483459,1.3862943611198906,2.1972245773362196,2016-03-27,0.08617769624105233,3.367295829986474,7.745966692414834
328,80700,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73738,-73.95482,Private room,5.857933154483459,1.3862943611198906,2.0794415416798357,2019-05-24,0.06765864847381481,3.367295829986474,7.745966692414834
330,81739,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73842,-73.95312,Private room,5.521460917862246,1.3862943611198906,1.0986122886681098,2011-05-12,0.019802627296179712,3.367295829986474,7.745966692414834
339,84010,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73813,-73.95394,Private room,5.19295685089021,1.3862943611198906,2.6390573296152584,2019-06-27,0.1310282624064041,3.367295829986474,9.0
343,85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,322716,Alex,Brooklyn,Crown Heights,40.66966,-73.94735,Entire home/apt,4.382026634673881,2.772588722239781,2.4849066497880004,2019-01-14,0.10436001532424277,1.791759469228055,13.379088160259652
